en,zh-Hans,ja,it,es,de,fr,zh-Hant,ko,roomaji,ja-Hrkt
Chimecho,风铃铃,チリーン,Chimecho,Chimecho,Palimpalim,Éoko,風鈴鈴,치렁,Chirean,チリーン
Spoink,跳跳猪,バネブー,Spoink,Spoink,Spoink,Spoink,跳跳豬,피그점프,Baneboo,バネブー
Finneon,荧光鱼,ケイコウオ,Finneon,Finneon,Finneon,Écayon,螢光魚,형광어,Keikouo,ケイコウオ
Pichu,皮丘,ピチュー,Pichu,Pichu,Pichu,Pichu,皮丘,피츄,Pichu,ピチュー
Weavile,玛狃拉,マニューラ,Weavile,Weavile,Snibunna,Dimoret,瑪狃拉,포푸니라,Manyula,マニューラ
Magby,鸭嘴宝宝,ブビィ,Magby,Magby,Magby,Magby,鴨嘴寶寶,마그비,Buby,ブビィ
Smeargle,图图犬,ドーブル,Smeargle,Smeargle,Farbeagle,Queulorior,圖圖犬,루브도,Doble,ドーブル
Manectric,雷电兽,ライボルト,Manectric,Manectric,Voltenso,Élecsprint,雷電獸,썬더볼트,Livolt,ライボルト
Illumise,甜甜萤,イルミーゼ,Illumise,Illumise,Illumise,Lumivole,甜甜螢,네오비트,Illumise,イルミーゼ
Registeel,雷吉斯奇鲁,レジスチル,Registeel,Registeel,Registeel,Registeel,雷吉斯奇魯,레지스틸,Registeel,レジスチル
Xatu,天然鸟,ネイティオ,Xatu,Xatu,Xatu,Xatu,天然鳥,네이티오,Natio,ネイティオ
Poochyena,土狼犬,ポチエナ,Poochyena,Poochyena,Fiffyen,Medhyèna,土狼犬,포챠나,Pochiena,ポチエナ
Azelf,亚克诺姆,アグノム,Azelf,Azelf,Tobutz,Créfadet,亞克諾姆,아그놈,Agnome,アグノム
Shuckle,壶壶,ツボツボ,Shuckle,Shuckle,Pottrott,Caratroc,壺壺,단단지,Tsubotsubo,ツボツボ
Kakuna,铁壳蛹,コクーン,Kakuna,Kakuna,Kokuna,Coconfort,鐵殼蛹,딱충이,Cocoon,コクーン
Seaking,金鱼王,アズマオウ,Seaking,Seaking,Golking,Poissoroy,金魚王,왕콘치,Azumao,アズマオウ
Electrike,落雷兽,ラクライ,Electrike,Electrike,Frizelbliz,Dynavolt,落雷獸,썬더라이,Rakurai,ラクライ
Torterra,土台龟,ドダイトス,Torterra,Torterra,Chelterrar,Torterra,土台龜,토대부기,Dodaitose,ドダイトス
Cyndaquil,火球鼠,ヒノアラシ,Cyndaquil,Cyndaquil,Feurigel,Héricendre,火球鼠,브케인,Hinoarashi,ヒノアラシ
Staravia,姆克鸟,ムクバード,Staravia,Staravia,Staravia,Étourvol,姆克鳥,찌르버드,Mukubird,ムクバード
Entei,炎帝,エンテイ,Entei,Entei,Entei,Entei,炎帝,앤테이,Entei,エンテイ
Prinplup,波皇子,ポッタイシ,Prinplup,Prinplup,Pliprin,Prinplouf,波皇子,팽태자,Pottaishi,ポッタイシ
Dunsparce,土龙弟弟,ノコッチ,Dunsparce,Dunsparce,Dummisel,Insolourdo,土龍弟弟,노고치,Nokocchi,ノコッチ
Murkrow,黑暗鸦,ヤミカラス,Murkrow,Murkrow,Kramurx,Cornèbre,黑暗鴉,니로우,Yamikarasu,ヤミカラス
Dusclops,彷徨夜灵,サマヨール,Dusclops,Dusclops,Zwirrklop,Téraclope,彷徨夜靈,미라몽,Samayouru,サマヨール
Ariados,阿利多斯,アリアドス,Ariados,Ariados,Ariados,Migalos,阿利多斯,아리아도스,Ariados,アリアドス
Yanmega,远古巨蜓,メガヤンマ,Yanmega,Yanmega,Yanmega,Yanmega,遠古巨蜓,메가자리,Megayanma,メガヤンマ
Sunflora,向日花怪,キマワリ,Sunflora,Sunflora,Sonnflora,Héliatronc,向日花怪,해루미,Kimawari,キマワリ
Silcoon,甲壳茧,カラサリス,Silcoon,Silcoon,Schaloko,Armulys,甲殼繭,실쿤,Karasalis,カラサリス
Porygon-Z,多边兽Ｚ,ポリゴンＺ,Porygon-Z,Porygon-Z,Porygon-Z,Porygon-Z,多邊獸Ｚ,폴리곤Z,PorygonZ,ポリゴンＺ
Lombre,莲帽小童,ハスブレロ,Lombre,Lombre,Lombrero,Lombre,蓮帽小童,로토스,Hasubrero,ハスブレロ
Roserade,罗丝雷朵,ロズレイド,Roserade,Roserade,Roserade,Roserade,羅絲雷朵,로즈레이드,Roserade,ロズレイド
Corsola,太阳珊瑚,サニーゴ,Corsola,Corsola,Corasonn,Corayon,太陽珊瑚,코산호,Sunnygo,サニーゴ
Loudred,吼爆弹,ドゴーム,Loudred,Loudred,Krakeelo,Ramboum,吼爆彈,노공룡,Dogohmb,ドゴーム
Kadabra,勇基拉,ユンゲラー,Kadabra,Kadabra,Kadabra,Kadabra,勇基拉,윤겔라,Yungerer,ユンゲラー
Purugly,东施喵,ブニャット,Purugly,Purugly,Shnurgarst,Chaffreux,東施喵,몬냥이,Bunyat,ブニャット
Uxie,由克希,ユクシー,Uxie,Uxie,Selfe,Créhelf,由克希,유크시,Yuxie,ユクシー
Beedrill,大针蜂,スピアー,Beedrill,Beedrill,Bibor,Dardargnan,大針蜂,독침붕,Spear,スピアー
Regirock,雷吉洛克,レジロック,Regirock,Regirock,Regirock,Regirock,雷吉洛克,레지락,Regirock,レジロック
Drifblim,随风球,フワライド,Drifblim,Drifblim,Drifzepeli,Grodrive,隨風球,둥실라이드,Fuwaride,フワライド
Hitmonlee,飞腿郎,サワムラー,Hitmonlee,Hitmonlee,Kicklee,Kicklee,飛腿郎,시라소몬,Sawamular,サワムラー
Gorebyss,樱花鱼,サクラビス,Gorebyss,Gorebyss,Saganabyss,Rosabyss,櫻花魚,분홍장이,Sakurabyss,サクラビス
Cacturne,梦歌仙人掌,ノクタス,Cacturne,Cacturne,Noktuska,Cacturne,夢歌仙人掌,밤선인,Noctus,ノクタス
Raichu,雷丘,ライチュウ,Raichu,Raichu,Raichu,Raichu,雷丘,라이츄,Raichu,ライチュウ
Blaziken,火焰鸡,バシャーモ,Blaziken,Blaziken,Lohgock,Braségali,火焰雞,번치코,Bursyamo,バシャーモ
Mismagius,梦妖魔,ムウマージ,Mismagius,Mismagius,Traunmagil,Magirêve,夢妖魔,무우마직,Mumage,ムウマージ
Rhydon,钻角犀兽,サイドン,Rhydon,Rhydon,Rizeros,Rhinoféros,鑽角犀獸,코뿌리,Sidon,サイドン
Poliwhirl,蚊香君,ニョロゾ,Poliwhirl,Poliwhirl,Quaputzi,Têtarte,蚊香君,슈륙챙이,Nyorozo,ニョロゾ
Sunkern,向日种子,ヒマナッツ,Sunkern,Sunkern,Sonnkern,Tournegrin,向日種子,해너츠,Himanuts,ヒマナッツ
Milotic,美纳斯,ミロカロス,Milotic,Milotic,Milotic,Milobellus,美納斯,밀로틱,Milokaross,ミロカロス
Aerodactyl,化石翼龙,プテラ,Aerodactyl,Aerodactyl,Aerodactyl,Ptéra,化石翼龍,프테라,Ptera,プテラ
Koffing,瓦斯弹,ドガース,Koffing,Koffing,Smogon,Smogo,瓦斯彈,또가스,Dogars,ドガース
Infernape,烈焰猴,ゴウカザル,Infernape,Infernape,Panferno,Simiabraz,烈焰猴,초염몽,Gōkazaru,ゴウカザル
Shellder,大舌贝,シェルダー,Shellder,Shellder,Muschas,Kokiyas,大舌貝,셀러,Shellder,シェルダー
Skorupi,钳尾蝎,スコルピ,Skorupi,Skorupi,Pionskora,Rapion,鉗尾蠍,스콜피,Scorpi,スコルピ
Dratini,迷你龙,ミニリュウ,Dratini,Dratini,Dratini,Minidraco,迷你龍,미뇽,Miniryu,ミニリュウ
Starly,姆克儿,ムックル,Starly,Starly,Staralili,Étourmi,姆克兒,찌르꼬,Mukkuru,ムックル
Mantine,巨翅飞鱼,マンタイン,Mantine,Mantine,Mantax,Démanta,巨翅飛魚,만타인,Mantain,マンタイン
Pineco,榛果球,クヌギダマ,Pineco,Pineco,Tannza,Pomdepik,榛果球,피콘,Kunugidama,クヌギダマ
Shellos,无壳海兔,カラナクシ,Shellos,Shellos,Schalellos,Sancoki,無殼海兔,깝질무,Karanakushi,カラナクシ
Bonsly,盆才怪,ウソハチ,Bonsly,Bonsly,Mobai,Manzaï,盆才怪,꼬지지,Usohachi,ウソハチ
Leafeon,叶伊布,リーフィア,Leafeon,Leafeon,Folipurba,Phyllali,葉伊布,리피아,Leafia,リーフィア
Marshtomp,沼躍鱼,ヌマクロー,Marshtomp,Marshtomp,Moorabbel,Flobio,沼躍魚,늪짱이,Numacraw,ヌマクロー
Arcanine,风速狗,ウインディ,Arcanine,Arcanine,Arkani,Arcanin,風速狗,윈디,Windie,ウインディ
Hippopotas,沙河马,ヒポポタス,Hippopotas,Hippopotas,Hippopotas,Hippopotas,沙河馬,히포포타스,Hipopotas,ヒポポタス
Igglybuff,宝宝丁,ププリン,Igglybuff,Igglybuff,Fluffeluff,Toudoudou,寶寶丁,푸푸린,Pupurin,ププリン
Noctowl,猫头夜鹰,ヨルノズク,Noctowl,Noctowl,Noctuh,Noarfang,貓頭夜鷹,야부엉,Yorunozuku,ヨルノズク
Snorlax,卡比兽,カビゴン,Snorlax,Snorlax,Relaxo,Ronflex,卡比獸,잠만보,Kabigon,カビゴン
Articuno,急冻鸟,フリーザー,Articuno,Articuno,Arktos,Artikodin,急凍鳥,프리져,Freezer,フリーザー
Roselia,毒蔷薇,ロゼリア,Roselia,Roselia,Roselia,Rosélia,毒薔薇,로젤리아,Roselia,ロゼリア
Rhyperior,超甲狂犀,ドサイドン,Rhyperior,Rhyperior,Rihornior,Rhinastoc,超甲狂犀,거대코뿌리,Dosydon,ドサイドン
Golem,隆隆岩,ゴローニャ,Golem,Golem,Geowaz,Grolem,隆隆岩,딱구리,Golonya,ゴローニャ
Pinsir,凯罗斯,カイロス,Pinsir,Pinsir,Pinsir,Scarabrute,凱羅斯,쁘사이저,Kailios,カイロス
Banette,诅咒娃娃,ジュペッタ,Banette,Banette,Banette,Branette,詛咒娃娃,다크펫,Juppeta,ジュペッタ
Tauros,肯泰罗,ケンタロス,Tauros,Tauros,Tauros,Tauros,肯泰羅,켄타로스,Kentauros,ケンタロス
Shelgon,甲壳龙,コモルー,Shelgon,Shelgon,Draschel,Drackhaus,甲殼龍,쉘곤,Komoruu,コモルー
Raikou,雷公,ライコウ,Raikou,Raikou,Raikou,Raikou,雷公,라이코,Raikou,ライコウ
Arbok,阿柏怪,アーボック,Arbok,Arbok,Arbok,Arbok,阿柏怪,아보크,Arbok,アーボック
Porygon2,多边兽２,ポリゴン２,Porygon2,Porygon2,Porygon2,Porygon2,多邊獸２,폴리곤2,Porygon2,ポリゴン２
Mamoswine,象牙猪,マンムー,Mamoswine,Mamoswine,Mamutel,Mammochon,象牙豬,맘모꾸리,Mammoo,マンムー
Chansey,吉利蛋,ラッキー,Chansey,Chansey,Chaneira,Leveinard,吉利蛋,럭키,Lucky,ラッキー
Plusle,正电拍拍,プラスル,Plusle,Plusle,Plusle,Posipi,正電拍拍,플러시,Prasle,プラスル
Geodude,小拳石,イシツブテ,Geodude,Geodude,Kleinstein,Racaillou,小拳石,꼬마돌,Isitsubute,イシツブテ
Politoed,蚊香蛙皇,ニョロトノ,Politoed,Politoed,Quaxo,Tarpaud,蚊香蛙皇,왕구리,Nyorotono,ニョロトノ
Donphan,顿甲,ドンファン,Donphan,Donphan,Donphan,Donphan,頓甲,코리갑,Donfan,ドンファン
Croagunk,不良蛙,グレッグル,Croagunk,Croagunk,Glibunkel,Cradopaud,不良蛙,삐딱구리,Gureggru,グレッグル
Primeape,火暴猴,オコリザル,Primeape,Primeape,Rasaff,Colossinge,火爆猴,성원숭,Okorizaru,オコリザル
Hoothoot,咕咕,ホーホー,Hoothoot,Hoothoot,Hoothoot,Hoothoot,咕咕,부우부,Hoho,ホーホー
Relicanth,古空棘鱼,ジーランス,Relicanth,Relicanth,Relicanth,Relicanth,古空棘魚,시라칸,Glanth,ジーランス
Tyrogue,无畏小子,バルキー,Tyrogue,Tyrogue,Rabauz,Debugant,無畏小子,배루키,Balkie,バルキー
Dialga,帝牙卢卡,ディアルガ,Dialga,Dialga,Dialga,Dialga,帝牙盧卡,디아루가,Dialga,ディアルガ
Jolteon,雷伊布,サンダース,Jolteon,Jolteon,Blitza,Voltali,雷伊布,쥬피썬더,Thunders,サンダース
Swablu,青绵鸟,チルット,Swablu,Swablu,Wablu,Tylton,青綿鳥,파비코,Tyltto,チルット
Kricketot,圆法师,コロボーシ,Kricketot,Kricketot,Zirpurze,Crikzik,圓法師,귀뚤뚜기,Korobohshi,コロボーシ
Golduck,哥达鸭,ゴルダック,Golduck,Golduck,Entoron,Akwakwak,哥達鴨,골덕,Golduck,ゴルダック
Chimchar,小火焰猴,ヒコザル,Chimchar,Chimchar,Panflam,Ouisticram,小火焰猴,불꽃숭이,Hikozaru,ヒコザル
Gible,圆陆鲨,フカマル,Gible,Gible,Kaumalat,Griknot,圓陸鯊,딥상어동,Fukamaru,フカマル
Ekans,阿柏蛇,アーボ,Ekans,Ekans,Rettan,Abo,阿柏蛇,아보,Arbo,アーボ
Umbreon,月亮伊布,ブラッキー,Umbreon,Umbreon,Nachtara,Noctali,月亮伊布,블래키,Blacky,ブラッキー
Flaaffy,茸茸羊,モココ,Flaaffy,Flaaffy,Waaty,Lainergie,茸茸羊,보송송,Mokoko,モココ
Heracross,赫拉克罗斯,ヘラクロス,Heracross,Heracross,Skaraborn,Scarhino,赫拉克羅斯,헤라크로스,Heracros,ヘラクロス
Feraligatr,大力鳄,オーダイル,Feraligatr,Feraligatr,Impergator,Aligatueur,大力鱷,장크로다일,Ordile,オーダイル
Toxicroak,毒骷蛙,ドクロッグ,Toxicroak,Toxicroak,Toxiquak,Coatox,毒骷蛙,독개굴,Dokurog,ドクロッグ
Voltorb,霹雳电球,ビリリダマ,Voltorb,Voltorb,Voltobal,Voltorbe,霹靂電球,찌리리공,Biriridama,ビリリダマ
Dragonite,快龙,カイリュー,Dragonite,Dragonite,Dragoran,Dracolosse,快龍,망나뇽,Kairyu,カイリュー
Remoraid,铁炮鱼,テッポウオ,Remoraid,Remoraid,Remoraid,Rémoraid,鐵砲魚,총어,Teppouo,テッポウオ
Lileep,触手百合,リリーラ,Lileep,Lileep,Liliep,Lilia,觸手百合,릴링,Lilyla,リリーラ
Vaporeon,水伊布,シャワーズ,Vaporeon,Vaporeon,Aquana,Aquali,水伊布,샤미드,Showers,シャワーズ
Dragonair,哈克龙,ハクリュー,Dragonair,Dragonair,Dragonir,Draco,哈克龍,신뇽,Hakuryu,ハクリュー
Smoochum,迷唇娃,ムチュール,Smoochum,Smoochum,Kussilla,Lippouti,迷唇娃,뽀뽀라,Muchul,ムチュール
Gastly,鬼斯,ゴース,Gastly,Gastly,Nebulak,Fantominus,鬼斯,고오스,Ghos,ゴース
Mothim,绅士蛾,ガーメイル,Mothim,Mothim,Moterpel,Papilord,紳士蛾,나메일,Garmeil,ガーメイル
Teddiursa,熊宝宝,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,Teddiursa,熊寶寶,깜지곰,Himeguma,ヒメグマ
Hypno,引梦貘人,スリーパー,Hypno,Hypno,Hypno,Hypnomade,引夢貘人,슬리퍼,Sleeper,スリーパー
Machoke,豪力,ゴーリキー,Machoke,Machoke,Maschock,Machopeur,豪力,근육몬,Goriky,ゴーリキー
Porygon,多边兽,ポリゴン,Porygon,Porygon,Porygon,Porygon,多邊獸,폴리곤,Porygon,ポリゴン
Jumpluff,毽子棉,ワタッコ,Jumpluff,Jumpluff,Papungha,Cotovol,毽子棉,솜솜코,Watacco,ワタッコ
Drifloon,飘飘球,フワンテ,Drifloon,Drifloon,Driftlon,Baudrive,飄飄球,흔들풍손,Fuwante,フワンテ
Drapion,龙王蝎,ドラピオン,Drapion,Drapion,Piondragi,Drascore,龍王蠍,드래피온,Dorapion,ドラピオン
Probopass,大朝北鼻,ダイノーズ,Probopass,Probopass,Voluminas,Tarinorme,大朝北鼻,대코파스,Dainose,ダイノーズ
Stunky,臭鼬噗,スカンプー,Stunky,Stunky,Skunkapuh,Moufouette,臭鼬噗,스컹뿡,Skunpoo,スカンプー
Sableye,勾魂眼,ヤミラミ,Sableye,Sableye,Zobiris,Ténéfix,勾魂眼,깜까미,Yamirami,ヤミラミ
Seviper,饭匙蛇,ハブネーク,Seviper,Seviper,Vipitis,Séviper,飯匙蛇,세비퍼,Habunake,ハブネーク
Typhlosion,火暴兽,バクフーン,Typhlosion,Typhlosion,Tornupto,Typhlosion,火爆獸,블레이범,Bakphoon,バクフーン
Scizor,巨钳螳螂,ハッサム,Scizor,Scizor,Scherox,Cizayox,巨鉗螳螂,핫삼,Hassam,ハッサム
Persian,猫老大,ペルシアン,Persian,Persian,Snobilikat,Persian,貓老大,페르시온,Persian,ペルシアン
Nidoking,尼多王,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,尼多王,니드킹,Nidoking,ニドキング
Zapdos,闪电鸟,サンダー,Zapdos,Zapdos,Zapdos,Électhor,閃電鳥,썬더,Thunder,サンダー
Ninjask,铁面忍者,テッカニン,Ninjask,Ninjask,Ninjask,Ninjask,鐵面忍者,아이스크,Tekkanin,テッカニン
Charmander,小火龙,ヒトカゲ,Charmander,Charmander,Glumanda,Salamèche,小火龍,파이리,Hitokage,ヒトカゲ
Nincada,土居忍士,ツチニン,Nincada,Nincada,Nincada,Ningale,土居忍士,토중몬,Tutinin,ツチニン
Grumpig,噗噗猪,ブーピッグ,Grumpig,Grumpig,Groink,Groret,噗噗豬,피그킹,Boopig,ブーピッグ
Moltres,火焰鸟,ファイヤー,Moltres,Moltres,Lavados,Sulfura,火焰鳥,파이어,Fire,ファイヤー
Flareon,火伊布,ブースター,Flareon,Flareon,Flamara,Pyroli,火伊布,부스터,Booster,ブースター
Kabuto,化石盔,カブト,Kabuto,Kabuto,Kabuto,Kabuto,化石盔,투구,Kabuto,カブト
Turtwig,草苗龟,ナエトル,Turtwig,Turtwig,Chelast,Tortipouss,草苗龜,모부기,Naetle,ナエトル
Chatot,聒噪鸟,ペラップ,Chatot,Chatot,Plaudagei,Pijako,聒噪鳥,페라페,Perap,ペラップ
Stantler,惊角鹿,オドシシ,Stantler,Stantler,Damhirplex,Cerfrousse,驚角鹿,노라키,Odoshishi,オドシシ
Shinx,小猫怪,コリンク,Shinx,Shinx,Sheinux,Lixy,小貓怪,꼬링크,Kolink,コリンク
Delibird,信使鸟,デリバード,Delibird,Delibird,Botogel,Cadoizo,信使鳥,딜리버드,Delibird,デリバード
Glameow,魅力喵,ニャルマー,Glameow,Glameow,Charmian,Chaglam,魅力喵,나옹마,Nyarmar,ニャルマー
Charizard,喷火龙,リザードン,Charizard,Charizard,Glurak,Dracaufeu,噴火龍,리자몽,Lizardon,リザードン
Tropius,热带龙,トロピウス,Tropius,Tropius,Tropius,Tropius,熱帶龍,트로피우스,Tropius,トロピウス
Horsea,墨海马,タッツー,Horsea,Horsea,Seeper,Hypotrempe,墨海馬,쏘드라,Tattu,タッツー
Luxray,伦琴猫,レントラー,Luxray,Luxray,Luxtra,Luxray,倫琴貓,렌트라,Rentorar,レントラー
Lotad,莲叶童子,ハスボー,Lotad,Lotad,Loturzel,Nénupiot,蓮葉童子,연꽃몬,Hassboh,ハスボー
Sentret,尾立,オタチ,Sentret,Sentret,Wiesor,Fouinette,尾立,꼬리선,Otachi,オタチ
Snover,雪笠怪,ユキカブリ,Snover,Snover,Shnebedeck,Blizzi,雪笠怪,눈쓰개,Yukikaburi,ユキカブリ
Flygon,沙漠蜻蜓,フライゴン,Flygon,Flygon,Libelldra,Libégon,沙漠蜻蜓,플라이곤,Frygon,フライゴン
Houndoom,黑鲁加,ヘルガー,Houndoom,Houndoom,Hundemon,Démolosse,黑魯加,헬가,Hellgar,ヘルガー
Zigzagoon,蛇纹熊,ジグザグマ,Zigzagoon,Zigzagoon,Zigzachs,Zigzaton,蛇紋熊,지그제구리,Ziguzaguma,ジグザグマ
Lugia,洛奇亚,ルギア,Lugia,Lugia,Lugia,Lugia,洛奇亞,루기아,Lugia,ルギア
Onix,大岩蛇,イワーク,Onix,Onix,Onix,Onix,大岩蛇,롱스톤,Iwark,イワーク
Clefairy,皮皮,ピッピ,Clefairy,Clefairy,Piepi,Mélofée,皮皮,삐삐,Pippi,ピッピ
Grimer,臭泥,ベトベター,Grimer,Grimer,Sleima,Tadmorv,臭泥,질퍽이,Betbeter,ベトベター
Bagon,宝贝龙,タツベイ,Bagon,Bagon,Kindwurm,Draby,寶貝龍,아공이,Tatsubay,タツベイ
Magneton,三合一磁怪,レアコイル,Magneton,Magneton,Magneton,Magnéton,三合一磁怪,레어코일,Rarecoil,レアコイル
Forretress,佛烈托斯,フォレトス,Forretress,Forretress,Forstellka,Foretress,佛烈托斯,쏘콘,Foretos,フォレトス
Skarmory,盔甲鸟,エアームド,Skarmory,Skarmory,Panzaeron,Airmure,盔甲鳥,무장조,Airmd,エアームド
Burmy,结草儿,ミノムッチ,Burmy,Burmy,Burmy,Cheniti,結草兒,도롱충이,Minomucchi,ミノムッチ
Volbeat,电萤虫,バルビート,Volbeat,Volbeat,Volbeat,Muciole,電螢蟲,볼비트,Barubeat,バルビート
Unown,未知图腾,アンノーン,Unown,Unown,Icognito,Zarbi,未知圖騰,안농,Unknown,アンノーン
Oddish,走路草,ナゾノクサ,Oddish,Oddish,Myrapla,Mystherbe,走路草,뚜벅쵸,Nazonokusa,ナゾノクサ
Bronzong,青铜钟,ドータクン,Bronzong,Bronzong,Bronzong,Archéodong,青銅鐘,동탁군,Dotakun,ドータクン
Delcatty,优雅猫,エネコロロ,Delcatty,Delcatty,Enekoro,Delcatty,優雅貓,델케티,Enekororo,エネコロロ
Mightyena,大狼犬,グラエナ,Mightyena,Mightyena,Magnayen,Grahyèna,大狼犬,그라에나,Guraena,グラエナ
Caterpie,绿毛虫,キャタピー,Caterpie,Caterpie,Raupy,Chenipan,綠毛蟲,캐터피,Caterpie,キャタピー
Growlithe,卡蒂狗,ガーディ,Growlithe,Growlithe,Fukano,Caninos,卡蒂狗,가디,Gardie,ガーディ
Groudon,固拉多,グラードン,Groudon,Groudon,Groudon,Groudon,固拉多,그란돈,Groudon,グラードン
Wynaut,小果然,ソーナノ,Wynaut,Wynaut,Isso,Okéoké,小果然,마자,Sohnano,ソーナノ
Kyogre,盖欧卡,カイオーガ,Kyogre,Kyogre,Kyogre,Kyogre,蓋歐卡,가이오가,Kyogre,カイオーガ
Rayquaza,烈空坐,レックウザ,Rayquaza,Rayquaza,Rayquaza,Rayquaza,烈空坐,레쿠쟈,Rayquaza,レックウザ
Diglett,地鼠,ディグダ,Diglett,Diglett,Digda,Taupiqueur,地鼠,디그다,Digda,ディグダ
Garchomp,烈咬陆鲨,ガブリアス,Garchomp,Garchomp,Knakrack,Carchacrok,烈咬陸鯊,한카리아스,Gablias,ガブリアス
Skitty,向尾喵,エネコ,Skitty,Skitty,Eneco,Skitty,向尾喵,에나비,Eneco,エネコ
Wurmple,刺尾虫,ケムッソ,Wurmple,Wurmple,Waumpel,Chenipotte,刺尾蟲,개무소,Kemusso,ケムッソ
Tentacool,玛瑙水母,メノクラゲ,Tentacool,Tentacool,Tentacha,Tentacool,瑪瑙水母,왕눈해,Menokurage,メノクラゲ
Dugtrio,三地鼠,ダグトリオ,Dugtrio,Dugtrio,Digdri,Triopikeur,三地鼠,닥트리오,Dugtrio,ダグトリオ
Wailmer,吼吼鲸,ホエルコ,Wailmer,Wailmer,Wailmer,Wailmer,吼吼鯨,고래왕자,Whalko,ホエルコ
Magmar,鸭嘴火兽,ブーバー,Magmar,Magmar,Magmar,Magmar,鴨嘴火獸,마그마,Boober,ブーバー
Lucario,路卡利欧,ルカリオ,Lucario,Lucario,Lucario,Lucario,路卡利歐,루카리오,Lucario,ルカリオ
Rampardos,战槌龙,ラムパルド,Rampardos,Rampardos,Rameidon,Charkos,戰槌龍,램펄드,Rampard,ラムパルド
Feebas,丑丑鱼,ヒンバス,Feebas,Feebas,Barschwa,Barpau,醜醜魚,빈티나,Hinbass,ヒンバス
Charmeleon,火恐龙,リザード,Charmeleon,Charmeleon,Glutexo,Reptincel,火恐龍,리자드,Lizardo,リザード
Buizel,泳圈鼬,ブイゼル,Buizel,Buizel,Bamelin,Mustébouée,泳圈鼬,브이젤,Buoysel,ブイゼル
Shieldon,盾甲龙,タテトプス,Shieldon,Shieldon,Schilterus,Dinoclier,盾甲龍,방패톱스,Tatetops,タテトプス
Phione,霏欧纳,フィオネ,Phione,Phione,Phione,Phione,霏歐納,피오네,Phione,フィオネ
Froslass,雪妖女,ユキメノコ,Froslass,Froslass,Frosdedje,Momartik,雪妖女,눈여아,Yukimenoko,ユキメノコ
Staraptor,姆克鹰,ムクホーク,Staraptor,Staraptor,Staraptor,Étouraptor,姆克鷹,찌르호크,Mukuhawk,ムクホーク
Cloyster,刺甲贝,パルシェン,Cloyster,Cloyster,Austos,Crustabri,刺甲貝,파르셀,Parshen,パルシェン
Vibrava,超音波幼虫,ビブラーバ,Vibrava,Vibrava,Vibrava,Vibraninf,超音波幼蟲,비브라바,Vibrava,ビブラーバ
Salamence,暴飞龙,ボーマンダ,Salamence,Salamence,Brutalanda,Drattak,暴飛龍,보만다,Bohmander,ボーマンダ
Meditite,玛沙那,アサナン,Meditite,Meditite,Meditie,Méditikka,瑪沙那,요가랑,Asanan,アサナン
Marowak,嘎啦嘎啦,ガラガラ,Marowak,Marowak,Knogga,Ossatueur,嘎啦嘎啦,텅구리,Garagara,ガラガラ
Glaceon,冰伊布,グレイシア,Glaceon,Glaceon,Glaziola,Givrali,冰伊布,글레이시아,Glacia,グレイシア
Croconaw,蓝鳄,アリゲイツ,Croconaw,Croconaw,Tyracroc,Crocrodil,藍鱷,엘리게이,Alligates,アリゲイツ
Graveler,隆隆石,ゴローン,Graveler,Graveler,Georok,Gravalanch,隆隆石,데구리,Golone,ゴローン
Happiny,小福蛋,ピンプク,Happiny,Happiny,Wonneira,Ptiravi,小福蛋,핑복,Pinpuku,ピンプク
Darkrai,达克莱伊,ダークライ,Darkrai,Darkrai,Darkrai,Darkrai,達克萊伊,다크라이,Darkrai,ダークライ
Mew,梦幻,ミュウ,Mew,Mew,Mew,Mew,夢幻,뮤,Mew,ミュウ
Hippowdon,河马兽,カバルドン,Hippowdon,Hippowdon,Hippoterus,Hippodocus,河馬獸,하마돈,Kabarudon,カバルドン
Bellossom,美丽花,キレイハナ,Bellossom,Bellossom,Blubella,Joliflor,美麗花,아르코,Kireihana,キレイハナ
Blissey,幸福蛋,ハピナス,Blissey,Blissey,Heiteira,Leuphorie,幸福蛋,해피너스,Happinas,ハピナス
Metagross,巨金怪,メタグロス,Metagross,Metagross,Metagross,Métalosse,巨金怪,메타그로스,Metagross,メタグロス
Lanturn,电灯怪,ランターン,Lanturn,Lanturn,Lanturn,Lanturn,電燈怪,랜턴,Lantern,ランターン
Beautifly,狩猎凤蝶,アゲハント,Beautifly,Beautifly,Papinella,Charmillon,狩獵鳳蝶,뷰티플라이,Agehunt,アゲハント
Poliwag,蚊香蝌蚪,ニョロモ,Poliwag,Poliwag,Quapsel,Ptitard,蚊香蝌蚪,발챙이,Nyoromo,ニョロモ
Pelipper,大嘴鸥,ペリッパー,Pelipper,Pelipper,Pelipper,Bekipan,大嘴鷗,패리퍼,Pelipper,ペリッパー
Swalot,吞食兽,マルノーム,Swalot,Swalot,Schlukwech,Avaltout,吞食獸,꿀꺽몬,Marunoom,マルノーム
Meganium,大竺葵,メガニウム,Meganium,Meganium,Meganie,Méganium,大竺葵,메가니움,Meganium,メガニウム
Monferno,猛火猴,モウカザル,Monferno,Monferno,Panpyro,Chimpenfeu,猛火猴,파이숭이,Mōkazaru,モウカザル
Wailord,吼鲸王,ホエルオー,Wailord,Wailord,Wailord,Wailord,吼鯨王,고래왕,Whaloh,ホエルオー
